Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,97.0,1.0,97.0,97.0,0.1,270.00599999999986,0.0,0.0,0.009203433990478516,,,,,,,,,,,,,,,,,,,,,125.63957041795742,79.71676878222617,258.3353740822486,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,122.0,2.0,25.0,122.0,0.1,57.00499999999999,0.0,0.0,2.852900505065918,,,,,,,,,,,,,,,,,,,,,24.92566532140752,19.58412176567019,56.494791455083515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,184.0,3.0,62.0,184.0,0.1,162.00700000000003,0.0,0.0,9.075450897216797,,,,,,,,,,,,,,,,,,,,,73.1505119591439,50.77533313348628,157.78708464072994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,244.0,4.0,60.0,244.0,0.1,153.00800000000004,0.0,0.0,15.138850212097168,,,,,,,,,,,,,,,,,,,,,67.70052660567471,48.64119172582648,149.2443077749016,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,280.0,5.0,36.0,280.0,0.1,78.00900000000004,0.0,0.0,19.01125192642212,,,,,,,,,,,,,,,,,,,,,31.153241181138867,26.755598494074388,77.04148925449873,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,305.0,6.0,25.0,305.0,0.1,57.00499999999999,0.0,0.0,21.813400506973267,,,,,,,,,,,,,,,,,,,,,24.92566532140752,19.58412176567019,56.494791455083515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,335.0,7.0,30.0,335.0,0.1,69.00600000000003,0.0,0.0,24.906495094299316,,,,,,,,,,,,,,,,,,,,,29.676687161287898,23.461571875836935,68.25213540383363,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,362.0,8.0,27.0,362.0,0.1,63.00499999999999,0.0,0.0,27.898693799972534,,,,,,,,,,,,,,,,,,,,,27.808776700398173,21.398254630466905,62.3788583669648,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,418.0,9.0,56.0,418.0,0.1,144.00700000000003,0.0,0.0,33.670886516571045,,,,,,,,,,,,,,,,,,,,,64.54010881707032,45.689789528293744,140.6739611545921,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,488.0,10.0,70.0,488.0,0.1,186.00700000000003,0.0,0.0,40.73601508140564,,,,,,,,,,,,,,,,,,,,,87.90267510901178,54.54349189120155,180.21406064960775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,519.0,11.0,31.0,519.0,0.1,72.00600000000003,0.0,0.0,44.07664680480957,,,,,,,,,,,,,,,,,,,,,31.110106910445108,24.36725160532672,71.1838832684298,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,562.0,12.0,43.0,562.0,0.1,111.00500000000002,0.0,0.0,48.50357794761658,,,,,,,,,,,,,,,,,,,,,51.00067403405657,35.43542846544173,109.02992183027428,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,615.0,13.0,53.0,615.0,0.1,138.00600000000003,0.0,0.0,53.94929790496826,,,,,,,,,,,,,,,,,,,,,62.82992928145325,43.56326274312209,134.94577034299863,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,665.0,14.0,50.0,665.0,0.1,117.01000000000005,0.0,0.0,59.158018827438354,,,,,,,,,,,,,,,,,,,,,48.51533114543524,38.77491577980676,114.81374612122455,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,692.0,15.0,27.0,692.0,0.1,66.00400000000002,0.0,0.0,62.111512660980225,,,,,,,,,,,,,,,,,,,,,30.335574395711745,21.972286104235558,65.31550518618296,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,722.0,16.0,30.0,722.0,0.1,66.00700000000003,0.0,0.0,65.24142575263977,,,,,,,,,,,,,,,,,,,,,27.304876686764807,22.744884569249873,65.3184252314347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,774.0,17.0,52.0,774.0,0.1,135.00600000000003,0.0,0.0,70.66900372505188,,,,,,,,,,,,,,,,,,,,,61.38798898739167,42.712839070556136,132.07784819118982,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,812.0,18.0,38.0,812.0,0.1,93.00600000000003,0.0,0.0,74.89640092849731,,,,,,,,,,,,,,,,,,,,,41.183247613069796,30.606933050713735,91.62419335321641,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,873.0,19.0,61.0,873.0,0.1,159.00700000000003,0.0,0.0,81.13137006759644,,,,,,,,,,,,,,,,,,,,,71.71643350673496,49.93165822929129,154.94202666739733,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,940.0,20.0,67.0,940.0,0.1,180.00600000000003,0.0,0.0,87.88797569274902,,,,,,,,,,,,,,,,,,,,,82.96372032218851,55.31446025771203,174.79684964084544,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,43.0,1.0,43.0,983.0,0.1,105.00700000000003,0.0,0.0,234.06973099708557,,,,,,,,,,,,,,,,,,,,,45.864219286352935,34.44465084158088,103.24121776499906,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,160.0,2.0,117.0,1100.0,0.1,330.00599999999986,0.0,0.0,245.66498494148254,,,,,,,,,,,,,,,,,,,,,153.67629483680216,95.49801801029473,312.65086257838857,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,250.0,3.0,90.0,1190.0,0.1,249.00600000000003,0.0,0.0,255.08338284492493,,,,,,,,,,,,,,,,,,,,,115.74633519170484,74.10581935747753,239.06672421445128,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,314.0,4.0,64.0,1254.0,0.1,168.00700000000003,0.0,0.0,261.6231424808502,,,,,,,,,,,,,,,,,,,,,76.01727514555829,52.458238267559395,163.46866825853314,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,356.0,5.0,42.0,1296.0,0.1,105.00600000000003,0.0,0.0,265.9538242816925,,,,,,,,,,,,,,,,,,,,,46.955221907014995,34.10878186307889,103.24025795555853,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,385.0,6.0,29.0,1325.0,0.1,69.00500000000002,0.0,0.0,269.00438141822815,,,,,,,,,,,,,,,,,,,,,30.699001579513798,23.195093236090933,68.25116302908926,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,476.0,7.0,91.0,1416.0,0.1,252.00600000000003,0.0,0.0,277.896098613739,,,,,,,,,,,,,,,,,,,,,117.16215381413387,74.91028880955862,241.82765749023685,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
